POLY_ID,AREAKEY,MEDHVAL,PCTBACHMOR,MEDHHINC,PCTVACANT,PCTSINGLES,NBELPOV100
1,4.2101E+11,225000,64.4737,49107,13.2075,11.3208,0
2,4.2101E+11,181900,78.7805,46304,0,0,25
3,4.2101E+11,225000,45,26875,0,42.8571,14
4,4.2101E+11,113600,64.3564,49375,7.75,0,70
5,4.2101E+11,126200,13.069,9432,9.7387,0,473
6,4.2101E+11,55000,32.6087,2499,0,0,113
7,4.2101E+11,194400,63.5319,47143,12.9228,3.3825,139
8,4.2101E+11,43800,43.7323,31981,9.2357,0,356
9,4.2101E+11,45000,38.3754,11923,8.6165,0,310
10,4.2101E+11,450000,27.0655,10515,24.3671,0,261
11,4.2101E+11,225000,71.5566,41563,16.7732,0,176
12,4.2101E+11,225000,61.8785,45556,17.8161,6.3218,10
13,4.2101E+11,58300,58.6667,33550,6.8293,0,287
14,4.2101E+11,153700,81.0284,30511,6.6358,3.3951,157
15,4.2101E+11,120900,75.2469,44890,5.419,0,229
16,4.2101E+11,394400,86.6038,37765,10.3448,1.6799,328
17,4.2101E+11,233300,73.671,47346,8.874,0.8203,198
18,4.2101E+11,258500,84.4459,35682,5.3435,0.6246,288
19,4.2101E+11,328900,70.3463,34904,0,5.7851,63
20,4.2101E+11,318800,92.987,60385,7.5284,1.2784,112
21,4.2101E+11,295300,42.7329,14932,0,0,268
22,4.2101E+11,139300,77.7457,19129,11.0254,0.882,472
23,4.2101E+11,164100,69.2308,25729,12.8319,0.9956,282
24,4.2101E+11,162500,54.1056,20717,0,0,413
25,4.2101E+11,293200,58.481,117991,11.8081,2.214,0
26,4.2101E+11,215100,75.043,52070,0.3641,1.9417,97
27,4.2101E+11,185200,74.5604,64013,4.8872,0.5263,139
28,4.2101E+11,313500,78.6805,87819,9.2798,2.1468,134
29,4.2101E+11,265000,88.1356,41133,9.2643,3.2698,67
30,4.2101E+11,200000,76.3092,68333,3.7453,0,21
31,4.2101E+11,155800,46.9136,21771,4.1284,2.7523,280
32,4.2101E+11,109700,59.8198,33182,8.8421,2.1053,173
33,4.2101E+11,164400,63.7097,37578,0,6.326,121
34,4.2101E+11,211300,60.8059,38382,12.5954,0,24
35,4.2101E+11,239200,58.0524,43654,0,0,125
36,4.2101E+11,162500,70.767,35714,7.4664,0,268
37,4.2101E+11,144600,50.2381,31216,6.9364,6.0694,96
38,4.2101E+11,189000,87.2642,35882,6.5156,5.3824,195
39,4.2101E+11,229200,69.1235,40489,5.7906,0,70
40,4.2101E+11,264000,78.629,46964,4.8443,3.9792,109
41,4.2101E+11,258700,74.8993,53947,4.7525,8.1188,56
42,4.2101E+11,250500,80.776,74010,2.3438,5.2083,50
43,4.2101E+11,504200,73.4778,51858,3.9841,2.2576,138
44,4.2101E+11,444600,84.2805,39778,16.8208,0.578,215
45,4.2101E+11,89400,41.0169,32955,9.9526,6.1611,149
46,4.2101E+11,67100,20.4188,28750,17.5403,9.6774,313
47,4.2101E+11,40700,7.4163,21492,12.8378,4.7297,175
48,4.2101E+11,49000,7.5209,14038,10.6122,13.8776,232
49,4.2101E+11,45000,0,21413,23.913,14.1304,0
50,4.2101E+11,53500,14.4231,22857,15.9722,11.8056,75
51,4.2101E+11,132100,43.6214,26394,11.5385,4.3956,91
52,4.2101E+11,84400,14.3137,31563,17.3171,1.9512,106
53,4.2101E+11,59100,6.6,10346,20.3593,0,318
54,4.2101E+11,89200,10.6838,65272,20.2532,0,94
55,4.2101E+11,98000,56.9721,45250,7.8512,4.5455,98
56,4.2101E+11,66200,31.3433,29375,15.812,12.3932,81
57,4.2101E+11,83000,44.2561,31722,13.278,4.5643,119
58,4.2101E+11,111500,36.1765,27418,13.4565,2.6385,53
59,4.2101E+11,107400,42.9967,20250,18.1452,4.4355,128
60,4.2101E+11,162500,56.8075,50260,11.4688,4.829,66
61,4.2101E+11,203900,73.7401,40625,3.9216,1.3072,35
62,4.2101E+11,128400,35.2332,34050,7.8652,11.236,85
63,4.2101E+11,47500,17.0732,19519,23.5,3.5,108
64,4.2101E+11,225000,70.1456,50781,3.9604,2.3102,22
65,4.2101E+11,170800,67.3575,51705,7.0724,5.4276,158
66,4.2101E+11,160000,35.8543,44911,20.8696,4.3478,47
67,4.2101E+11,150000,65.3422,61250,0,2.6217,56
68,4.2101E+11,187000,67.4183,49643,5.891,5.3019,157
69,4.2101E+11,157200,59.0634,45000,13.0178,0,109
70,4.2101E+11,118000,41.4051,40855,0,0,94
71,4.2101E+11,93400,45.4082,39784,10.9272,2.649,114
72,4.2101E+11,89600,46.4037,36250,10.1818,2.9091,44
