date,county,state,fips,cases,deaths
8/5/2021,Autauga,Alabama,1001,7670,114
8/5/2021,Baldwin,Alabama,1003,26472,330
8/5/2021,Barbour,Alabama,1005,2562,61
8/5/2021,Bibb,Alabama,1007,2960,66
8/5/2021,Blount,Alabama,1009,7497,140
8/5/2021,Bullock,Alabama,1011,1267,42
8/5/2021,Butler,Alabama,1013,2457,72
8/5/2021,Calhoun,Alabama,1015,15619,335
8/5/2021,Chambers,Alabama,1017,4033,125
8/5/2021,Cherokee,Alabama,1019,2030,48
8/5/2021,Chilton,Alabama,1021,4851,117
8/5/2021,Choctaw,Alabama,1023,646,25
8/5/2021,Clarke,Alabama,1025,3765,63
8/5/2021,Clay,Alabama,1027,1686,59
8/5/2021,Cleburne,Alabama,1029,1625,45
8/5/2021,Coffee,Alabama,1031,6615,132
8/5/2021,Colbert,Alabama,1033,6801,142
8/5/2021,Conecuh,Alabama,1035,1240,32
8/5/2021,Coosa,Alabama,1037,1202,29
8/5/2021,Covington,Alabama,1039,4898,125
8/5/2021,Crenshaw,Alabama,1041,1732,58
8/5/2021,Cullman,Alabama,1043,10689,207
8/5/2021,Dale,Alabama,1045,5877,119
8/5/2021,Dallas,Alabama,1047,3771,164
8/5/2021,DeKalb,Alabama,1049,9660,193
8/5/2021,Elmore,Alabama,1051,11078,220
8/5/2021,Escambia,Alabama,1053,4605,83
8/5/2021,Etowah,Alabama,1055,15195,372
8/5/2021,Fayette,Alabama,1057,2291,65
8/5/2021,Franklin,Alabama,1059,4671,81
8/5/2021,Geneva,Alabama,1061,2951,83
8/5/2021,Greene,Alabama,1063,1001,38
8/5/2021,Hale,Alabama,1065,2377,79
8/5/2021,Henry,Alabama,1067,2215,45
8/5/2021,Houston,Alabama,1069,12399,294
8/5/2021,Jackson,Alabama,1071,7477,117
8/5/2021,Jefferson,Alabama,1073,87039,1591
8/5/2021,Lamar,Alabama,1075,1533,38
8/5/2021,Lauderdale,Alabama,1077,10429,255
8/5/2021,Lawrence,Alabama,1079,3290,100
8/5/2021,Lee,Alabama,1081,17504,181
8/5/2021,Limestone,Alabama,1083,10934,158
8/5/2021,Lowndes,Alabama,1085,1472,55
8/5/2021,Macon,Alabama,1087,1732,52
8/5/2021,Madison,Alabama,1089,38134,534
8/5/2021,Marengo,Alabama,1091,2647,67
8/5/2021,Marion,Alabama,1093,3511,107
8/5/2021,Marshall,Alabama,1095,13333,237
8/5/2021,Mobile,Alabama,1097,50991,876
8/5/2021,Monroe,Alabama,1099,2092,41
8/5/2021,Montgomery,Alabama,1101,26557,628
8/5/2021,Morgan,Alabama,1103,15325,291
8/5/2021,Perry,Alabama,1105,1114,28
8/5/2021,Pickens,Alabama,1107,2488,62
8/5/2021,Pike,Alabama,1109,3395,79
8/5/2021,Randolph,Alabama,1111,2054,44
8/5/2021,Russell,Alabama,1113,4849,43
8/5/2021,Shelby,Alabama,1117,27810,261
8/5/2021,St. Clair,Alabama,1115,10974,252
8/5/2021,Sumter,Alabama,1119,1112,33
8/5/2021,Talladega,Alabama,1121,9074,188
8/5/2021,Tallapoosa,Alabama,1123,4633,156
8/5/2021,Tuscaloosa,Alabama,1125,27540,465
8/5/2021,Walker,Alabama,1127,7906,289
8/5/2021,Washington,Alabama,1129,1915,39
8/5/2021,Wilcox,Alabama,1131,1330,31
8/5/2021,Winston,Alabama,1133,3031,73
8/5/2021,Aleutians East Borough,Alaska,2013,377,3
8/5/2021,Aleutians West Census Area,Alaska,2016,784,0
8/5/2021,Anchorage,Alaska,2020,33515,189
8/5/2021,Bethel Census Area,Alaska,2050,4052,22
8/5/2021,Bristol Bay plus Lake and Peninsula,Alaska,2997,206,0
8/5/2021,Denali Borough,Alaska,2068,122,0
8/5/2021,Dillingham Census Area,Alaska,2070,246,2
8/5/2021,Fairbanks North Star Borough,Alaska,2090,8290,45
8/5/2021,Haines Borough,Alaska,2100,28,0
8/5/2021,Juneau City and Borough,Alaska,2110,1713,3
8/5/2021,Kenai Peninsula Borough,Alaska,2122,5381,20
8/5/2021,Ketchikan Gateway Borough,Alaska,2130,734,1
8/5/2021,Kodiak Island Borough,Alaska,2150,1276,6
8/5/2021,Kusilvak Census Area,Alaska,2158,1491,4
8/5/2021,Matanuska-Susitna Borough,Alaska,2170,12270,61
8/5/2021,Nome Census Area,Alaska,2180,468,0
8/5/2021,North Slope Borough,Alaska,2185,1110,4
8/5/2021,Northwest Arctic Borough,Alaska,2188,673,2
8/5/2021,Petersburg Borough,Alaska,2195,182,1
8/5/2021,Prince of Wales-Hyder Census Area,Alaska,2198,234,4
8/5/2021,Sitka City and Borough,Alaska,2220,809,1
8/5/2021,Skagway Municipality,Alaska,2230,34,0
8/5/2021,Southeast Fairbanks Census Area,Alaska,2240,798,5
8/5/2021,Unknown,Alaska,,350,0
8/5/2021,Valdez-Cordova Census Area,Alaska,2261,922,2
8/5/2021,Wrangell City and Borough,Alaska,2275,71,0
8/5/2021,Yakutat plus Hoonah-Angoon,Alaska,2998,86,2
8/5/2021,Yukon-Koyukuk Census Area,Alaska,2290,385,4
8/5/2021,Apache,Arizona,4001,11813,441
8/5/2021,Cochise,Arizona,4003,12451,298
8/5/2021,Coconino,Arizona,4005,18738,333
8/5/2021,Gila,Arizona,4007,7422,235
8/5/2021,Graham,Arizona,4009,5714,88
8/5/2021,Greenlee,Arizona,4011,625,10
8/5/2021,La Paz,Arizona,4012,2593,80
8/5/2021,Maricopa,Arizona,4013,589851,10496
8/5/2021,Mohave,Arizona,4015,25858,793
8/5/2021,Navajo,Arizona,4017,17389,560
8/5/2021,Pima,Arizona,4019,121009,2461
8/5/2021,Pinal,Arizona,4021,57276,924
8/5/2021,Santa Cruz,Arizona,4023,8241,182
8/5/2021,Yavapai,Arizona,4025,21267,546
8/5/2021,Yuma,Arizona,4027,37689,853
8/5/2021,Arkansas,Arkansas,5001,2644,43
8/5/2021,Ashley,Arkansas,5003,2241,37
8/5/2021,Baxter,Arkansas,5005,4705,127
8/5/2021,Benton,Arkansas,5007,33393,443
8/5/2021,Boone,Arkansas,5009,4980,84
8/5/2021,Bradley,Arkansas,5011,1631,33
8/5/2021,Calhoun,Arkansas,5013,489,4
8/5/2021,Carroll,Arkansas,5015,3361,52
8/5/2021,Chicot,Arkansas,5017,1692,41
8/5/2021,Clark,Arkansas,5019,2496,41
8/5/2021,Clay,Arkansas,5021,1967,52
8/5/2021,Cleburne,Arkansas,5023,2607,74
8/5/2021,Cleveland,Arkansas,5025,1158,28
8/5/2021,Columbia,Arkansas,5027,2626,59
8/5/2021,Conway,Arkansas,5029,2473,36
8/5/2021,Craighead,Arkansas,5031,15673,192
8/5/2021,Crawford,Arkansas,5033,7902,128
8/5/2021,Crittenden,Arkansas,5035,6621,99
8/5/2021,Cross,Arkansas,5037,2220,53
