POLY_ID,AREAKEY,MEDHVAL,PCTBACHMOR,MEDHHINC,PCTVACANT,PCTSINGLES,NBELPOV100,Police.Unit
1,4.21E+11,225000,64.4737,49107,13.2075,11.3208,0,A
2,4.21E+11,181900,78.7805,46304,0,0,25,A
3,4.21E+11,225000,45,26875,0,42.8571,14,A
4,4.21E+11,113600,64.3564,49375,7.75,0,70,A
5,4.21E+11,126200,13.069,9432,9.7387,0,473,A
6,4.21E+11,55000,32.6087,2499,0,0,113,A
7,4.21E+11,194400,63.5319,47143,12.9228,3.3825,139,A
8,4.21E+11,43800,43.7323,31981,9.2357,0,356,A
9,4.21E+11,45000,38.3754,11923,8.6165,0,310,A
10,4.21E+11,450000,27.0655,10515,24.3671,0,261,A
11,4.21E+11,225000,71.5566,41563,16.7732,0,176,A
12,4.21E+11,225000,61.8785,45556,17.8161,6.3218,10,A
13,4.21E+11,58300,58.6667,33550,6.8293,0,287,A
14,4.21E+11,153700,81.0284,30511,6.6358,3.3951,157,A
15,4.21E+11,120900,75.2469,44890,5.419,0,229,A
16,4.21E+11,394400,86.6038,37765,10.3448,1.6799,328,A
17,4.21E+11,233300,73.671,47346,8.874,0.8203,198,A
18,4.21E+11,258500,84.4459,35682,5.3435,0.6246,288,A
19,4.21E+11,328900,70.3463,34904,0,5.7851,63,A
20,4.21E+11,318800,92.987,60385,7.5284,1.2784,112,A
21,4.21E+11,295300,42.7329,14932,0,0,268,A
22,4.21E+11,139300,77.7457,19129,11.0254,0.882,472,A
23,4.21E+11,164100,69.2308,25729,12.8319,0.9956,282,A
24,4.21E+11,162500,54.1056,20717,0,0,413,A
25,4.21E+11,293200,58.481,117991,11.8081,2.214,0,A
26,4.21E+11,215100,75.043,52070,0.3641,1.9417,97,A
27,4.21E+11,185200,74.5604,64013,4.8872,0.5263,139,A
28,4.21E+11,313500,78.6805,87819,9.2798,2.1468,134,A
29,4.21E+11,265000,88.1356,41133,9.2643,3.2698,67,A
30,4.21E+11,200000,76.3092,68333,3.7453,0,21,A
31,4.21E+11,155800,46.9136,21771,4.1284,2.7523,280,A
32,4.21E+11,109700,59.8198,33182,8.8421,2.1053,173,A
33,4.21E+11,164400,63.7097,37578,0,6.326,121,A
34,4.21E+11,211300,60.8059,38382,12.5954,0,24,A
35,4.21E+11,239200,58.0524,43654,0,0,125,A
36,4.21E+11,162500,70.767,35714,7.4664,0,268,A
37,4.21E+11,144600,50.2381,31216,6.9364,6.0694,96,A
38,4.21E+11,189000,87.2642,35882,6.5156,5.3824,195,A
39,4.21E+11,229200,69.1235,40489,5.7906,0,70,A
40,4.21E+11,264000,78.629,46964,4.8443,3.9792,109,A
41,4.21E+11,258700,74.8993,53947,4.7525,8.1188,56,A
42,4.21E+11,250500,80.776,74010,2.3438,5.2083,50,A
