POLY_ID,MEDHVAL,PCTBACHMOR,MEDHHINC,PCTVACANT,PCTSINGLES
1,225000,64.4737,49107,13.2075,11.3208
2,181900,78.7805,46304,0,0
3,225000,45,26875,0,42.8571
4,113600,64.3564,49375,7.75,0
5,126200,13.069,9432,9.7387,0
6,55000,32.6087,2499,0,0
7,194400,63.5319,47143,12.9228,3.3825
8,43800,43.7323,31981,9.2357,0
9,45000,38.3754,11923,8.6165,0
10,450000,27.0655,10515,24.3671,0
11,225000,71.5566,41563,16.7732,0
12,225000,61.8785,45556,17.8161,6.3218
13,58300,58.6667,33550,6.8293,0
14,153700,81.0284,30511,6.6358,3.3951
15,120900,75.2469,44890,5.419,0
16,394400,86.6038,37765,10.3448,1.6799
17,233300,73.671,47346,8.874,0.8203
18,258500,84.4459,35682,5.3435,0.6246
19,328900,70.3463,34904,0,5.7851
20,318800,92.987,60385,7.5284,1.2784
21,295300,42.7329,14932,0,0
22,139300,77.7457,19129,11.0254,0.882
23,164100,69.2308,25729,12.8319,0.9956
24,162500,54.1056,20717,0,0
25,293200,58.481,117991,11.8081,2.214
26,215100,75.043,52070,0.3641,1.9417
27,185200,74.5604,64013,4.8872,0.5263
28,313500,78.6805,87819,9.2798,2.1468
29,265000,88.1356,41133,9.2643,3.2698
30,200000,76.3092,68333,3.7453,0
31,155800,46.9136,21771,4.1284,2.7523
32,109700,59.8198,33182,8.8421,2.1053
33,164400,63.7097,37578,0,6.326
34,211300,60.8059,38382,12.5954,0
35,239200,58.0524,43654,0,0
36,162500,70.767,35714,7.4664,0
37,144600,50.2381,31216,6.9364,6.0694
38,189000,87.2642,35882,6.5156,5.3824
39,229200,69.1235,40489,5.7906,0
40,264000,78.629,46964,4.8443,3.9792
41,258700,74.8993,53947,4.7525,8.1188
42,250500,80.776,74010,2.3438,5.2083
43,504200,73.4778,51858,3.9841,2.2576
44,444600,84.2805,39778,16.8208,0.578
45,89400,41.0169,32955,9.9526,6.1611
46,67100,20.4188,28750,17.5403,9.6774
47,40700,7.4163,21492,12.8378,4.7297
48,49000,7.5209,14038,10.6122,13.8776
49,45000,0,21413,23.913,14.1304
50,53500,14.4231,22857,15.9722,11.8056
51,132100,43.6214,26394,11.5385,4.3956
52,84400,14.3137,31563,17.3171,1.9512
53,59100,6.6,10346,20.3593,0
54,89200,10.6838,65272,20.2532,0
55,98000,56.9721,45250,7.8512,4.5455
56,66200,31.3433,29375,15.812,12.3932
57,83000,44.2561,31722,13.278,4.5643
58,111500,36.1765,27418,13.4565,2.6385
59,107400,42.9967,20250,18.1452,4.4355
60,162500,56.8075,50260,11.4688,4.829
61,203900,73.7401,40625,3.9216,1.3072
62,128400,35.2332,34050,7.8652,11.236
63,47500,17.0732,19519,23.5,3.5
64,225000,70.1456,50781,3.9604,2.3102
65,170800,67.3575,51705,7.0724,5.4276
66,160000,35.8543,44911,20.8696,4.3478
67,150000,65.3422,61250,0,2.6217
68,187000,67.4183,49643,5.891,5.3019
69,157200,59.0634,45000,13.0178,0
70,118000,41.4051,40855,0,0
71,93400,45.4082,39784,10.9272,2.649
72,89600,46.4037,36250,10.1818,2.9091
73,59200,31.6583,23289,8.6667,10.6667
74,28600,19.0476,30833,20.155,10.0775
75,225000,7.2464,22109,33.0357,16.9643
76,33200,3.1546,16696,20.8178,12.2677
77,45000,13.4715,25777,18.6667,12.6667
78,45400,6.7485,25179,24.8227,8.5106
79,62900,7.3718,21550,16.7224,6.3545
80,52400,19.4748,31467,28.1395,3.7209
81,29700,8.4034,21083,14.1935,12.9032
82,23900,0,24750,12.3077,0
83,25300,4.0541,17429,23.7354,21.0117
84,25500,2.1368,22115,13.6905,0
85,21900,0,17386,22.0183,5.0459
86,33100,10.8108,28017,20.8333,5.2083
87,22800,6.9106,19375,26.9076,3.6145
88,25200,10.8808,14922,22.0217,11.5523
89,41400,3.4483,27857,11.2903,0
90,29000,1.8561,21121,25.6098,0.9146
91,47100,25.0489,40778,13.4518,0
